# Met Data from ERA5 reanalysis	Lat = 50.500	Lon= 	-5					
Time	U10	V10	Temp	MSLP	RH	Nebu	Precip	Evap
s	ms-1	ms-1	degC	hPa	%	octa	m	m
0.	6.09	4.92	11.2	1009	95.4	8	0	0
21600.	6.09	6.17	11	1005	94.1	8	0	0
43200.	5.95	-1.59	9.8	1005	93.8	8	0	0
64800.	6.79	0.76	9	1007	86.8	1.8	0	0
86400.	7.98	-1.8	6.7	1010	76.1	1.6	0	0
108000.	6.32	0.15	5.4	1011	69.4	1.3	0	0
129600	7.05	4.63	8.4	1011	62.8	5.9	0	0
151200	2.08	7.53	7.2	1006	86.3	8	0	0
172800	3.59	4.05	6.3	1001	91.6	8	0	0
194400	2.44	0.93	4.4	1000	89	6.8	0	0
216000	3.08	-0.2	7.5	1004	74.2	5.3	0	0
237600	0.47	-0.52	7.6	1006	72.9	3.2	0	0
259200	-2.3	-2.27	4.4	1010	85.5	7.5	0	0
280800	-1.16	-4.02	3.7	1012	90.3	7.9	0	0
302400	-4.61	-6.63	8.3	1014	80.6	8	0	0
324000	-3.37	-5.63	8.6	1016	84.5	7.8	0	0
345600	-6.39	-5.31	7.7	1019	81.1	1.4	0	0
367200	-5.96	-2.6	7.5	1023	85.9	7.3	0	0
388800	-5.98	-1.25	8.9	1028	85.7	8	0	0
410400	-4.32	-1.92	10.8	1029	80.8	6.5	0	0
432000	-3.92	-2.71	8	1030	87	0	0	0
453600	-5.53	-2.47	5.9	1028	88.4	0	0	0
475200	-5.99	-3.37	13.9	1027	48.3	0	0	0
496800	-5.07	-4.36	12.5	1023	52.2	1	0	0
518400	-6.2	-1.57	8.4	1022	44.6	2.5	0	0
540000	-6.64	-1.12	6.7	1020	59.1	1.9	0	0
561600	-8.02	1.74	12.8	1020	63.8	2.9	0	0
583200	-6.38	1.77	11.4	1019	67.3	5.6	0	0
604800	-5.54	1.36	8.8	1020	88.2	0	0	0
626400	-4.43	0.92	7.7	1019	91.9	0	0	0
648000	-5.96	1.35	14.4	1019	72.1	0.5	0	0
669600	-5.47	1.15	12.1	1017	75.3	3.1	0	0
691200	-3.62	3.26	8.7	1016	89.9	2.1	0	0
712800	-0.41	4.58	9.8	1016	96.4	8	0	0
734400	3.04	6.91	13.6	1018	86.4	7.6	0	0
756000	-0.07	8.16	11.3	1017	92.2	8	0	0
777600	3.75	6.65	11.6	1019	95.8	8	0	0
799200	1.97	6.99	11.9	1018	97.2	8	0	0
820800	1.32	7.88	12.9	1019	93	8	0	0
842400	1.57	9.08	12.5	1017	92.8	8	0	0
864000	2.03	7.41	12.6	1018	95.6	8	0	0
885600	0.83	8.42	12.5	1016	94	8	0	0
907200	0.25	8.09	14.6	1015	83.3	7.9	0	0
928800	-0.4	6.88	12.8	1011	84.7	8	0	0
950400	0.23	10.13	12.1	1008	93.2	8	0	0
972000	3.03	5.36	10.4	1007	94.1	1.7	0	0
993600	3.29	9.13	13.5	1007	86.1	7.3	0	0
1015200	1.73	5.85	10.8	1005	91.4	8	0	0
1036800	1.08	2.55	9.1	1005	90.4	7.6	0	0
1058400	2.53	1.5	7.6	1007	97.3	2.2	0	0
1080000	4.78	-3.52	10.2	1011	88.1	4.9	0	0
1101600	4.9	-4.41	10.9	1014	86.1	1.2	0	0
1123200	2.42	-4.09	9.4	1019	90.9	2.7	0	0
1144800	0.6	-3.4	7.4	1022	93.9	0.2	0	0
