#          Tracer Boundary Power Station
#
T          Q(2)    TR(2,1)
s          m       deg C
0          50.00         39
1800       50.00         39
3600       50.00         39
5400       50.00         39
7200       50.00         39
9000       50.00         39
10800      50.00         39
12600      50.00         39
14400      50.00         39
16200      50.00         39
18000      50.00         39
19800      50.00         39
21600      50.00         39
23400      50.00         39
25200      50.00         39
27000      50.00         39
28800      50.00         39
30600      50.00         39
32400      50.00         39
34200      50.00         39
36000      50.00         39
37800      50.00         39
39600      50.00         39
41400      50.00         39
43200      50.00         39
45000      50.00         39
46800      50.00         39
48600      50.00         39
50400      50.00         39
52200      50.00         39
54000      50.00         39
55800      50.00         39
57600      50.00         39
59400      50.00         39
61200      50.00         39
63000      50.00         39
64800      50.00         39
66600      50.00         39
68400      50.00         39
70200      50.00         39
72000      50.00         39
73800      50.00         39
75600      50.00         39
77400      50.00         39
79200      50.00         39
81000      50.00         39
82800      50.00         39
84600      50.00         39
86400      50.00         39
88200      50.00         39
90000      50.00         39
91800      50.00         39
93600      50.00         39
95400      50.00         39
97200      50.00         39
99000      50.00         39
100800     50.00         39
102600     50.00         39
104400     50.00         39
106200     50.00         39
108000     50.00         39
109800     50.00         39
111600     50.00         39
113400     50.00         39
115200     50.00         39
117000     50.00         39
118800     50.00         39
120600     50.00         39
122400     50.00         39
124200     50.00         39
126000     50.00         39
127800     50.00         39
129600     50.00         39
131400     50.00         39
133200     50.00         39
135000     50.00         39
136800     50.00         39
138600     50.00         39
140400     50.00         39
142200     50.00         39
144000     50.00         39
145800     50.00         39
147600     50.00         39
149400     50.00         39
151200     50.00         39
153000     50.00         39
154800     50.00         39
156600     50.00         39
158400     50.00         39
160200     50.00         39
162000     50.00         39
163800     50.00         39
165600     50.00         39
167400     50.00         39
169200     50.00         39
171000     50.00         39
172800     50.00         39
174600     50.00         39
176400     50.00         39
178200     50.00         39
180000     50.00         39
181800     50.00         39
183600     50.00         39
185400     50.00         39
187200     50.00         39
189000     50.00         39
190800     50.00         39
192600     50.00         39
194400     50.00         39
196200     50.00         39
198000     50.00         39
199800     50.00         39
201600     50.00         39
203400     50.00         39
205200     50.00         39
207000     50.00         39
208800     50.00         39
210600     50.00         39
212400     50.00         39
214200     50.00         39
216000     50.00         39
217800     50.00         39
219600     50.00         39
221400     50.00         39
223200     50.00         39
225000     50.00         39
226800     50.00         39
228600     50.00         39
230400     50.00         39
232200     50.00         39
234000     50.00         39
235800     50.00         39
237600     50.00         39
239400     50.00         39
241200     50.00         39
243000     50.00         39
244800     50.00         39
246600     50.00         39
248400     50.00         39
250200     50.00         39
252000     50.00         39
253800     50.00         39
255600     50.00         39
257400     50.00         39
259200     50.00         39
261000     50.00         39
262800     50.00         39
264600     50.00         39
266400     50.00         39
268200     50.00         39
270000     50.00         39
271800     50.00         39
273600     50.00         39
275400     50.00         39
277200     50.00         39
279000     50.00         39
280800     50.00         39
282600     50.00         39
284400     50.00         39
286200     50.00         39
288000     50.00         39
289800     50.00         39
291600     50.00         39
293400     50.00         39
295200     50.00         39
297000     50.00         39
298800     50.00         39
300600     50.00         39
302400     50.00         39
304200     50.00         39
306000     50.00         39
307800     50.00         39
309600     50.00         39
311400     50.00         39
313200     50.00         39
315000     50.00         39
316800     50.00         39
318600     50.00         39
320400     50.00         39
322200     50.00         39
324000     50.00         39
325800     50.00         39
327600     50.00         39
329400     50.00         39
331200     50.00         39
333000     50.00         39
334800     50.00         39
336600     50.00         39
338400     50.00         39
340200     50.00         39
342000     50.00         39
343800     50.00         39
345600     50.00         39
347400     50.00         39
349200     50.00         39
351000     50.00         39
352800     50.00         39
354600     50.00         39
356400     50.00         39
358200     50.00         39
360000     50.00         39
361800     50.00         39
363600     50.00         39
365400     50.00         39
367200     50.00         39
369000     50.00         39
370800     50.00         39
372600     50.00         39
374400     50.00         39
376200     50.00         39
378000     50.00         39
379800     50.00         39
381600     50.00         39
383400     50.00         39
385200     50.00         39
387000     50.00         39
388800     50.00         39
390600     50.00         39
392400     50.00         39
394200     50.00         39
396000     50.00         39
397800     50.00         39
399600     50.00         39
401400     50.00         39
403200     50.00         39
405000     50.00         39
406800     50.00         39
408600     50.00         39
410400     50.00         39
412200     50.00         39
414000     50.00         39
415800     50.00         39
417600     50.00         39
419400     50.00         39
421200     50.00         39
423000     50.00         39
424800     50.00         39
426600     50.00         39
428400     50.00         39
430200     50.00         39
432000     50.00         39
433800     50.00         39
435600     50.00         39
437400     50.00         39
439200     50.00         39
441000     50.00         39
442800     50.00         39
444600     50.00         39
446400     50.00         39
448200     50.00         39
450000     50.00         39
451800     50.00         39
453600     50.00         39
455400     50.00         39
457200     50.00         39
459000     50.00         39
460800     50.00         39
462600     50.00         39
464400     50.00         39
466200     50.00         39
468000     50.00         39
469800     50.00         39
471600     50.00         39
473400     50.00         39
475200     50.00         39
477000     50.00         39
478800     50.00         39
480600     50.00         39
482400     50.00         39
484200     50.00         39
486000     50.00         39
487800     50.00         39
489600     50.00         39
491400     50.00         39
493200     50.00         39
495000     50.00         39
496800     50.00         39
498600     50.00         39
500400     50.00         39
502200     50.00         39
504000     50.00         39
505800     50.00         39
507600     50.00         39
509400     50.00         39
511200     50.00         39
513000     50.00         39
514800     50.00         39
516600     50.00         39
518400     50.00         39
520200     50.00         39
522000     50.00         39
523800     50.00         39
525600     50.00         39
527400     50.00         39
529200     50.00         39
531000     50.00         39
532800     50.00         39
534600     50.00         39
536400     50.00         39
538200     50.00         39
540000     50.00         39
541800     50.00         39
543600     50.00         39
545400     50.00         39
547200     50.00         39
549000     50.00         39
550800     50.00         39
552600     50.00         39
554400     50.00         39
556200     50.00         39
558000     50.00         39
559800     50.00         39
561600     50.00         39
563400     50.00         39
565200     50.00         39
567000     50.00         39
568800     50.00         39
570600     50.00         39
572400     50.00         39
574200     50.00         39
576000     50.00         39
577800     50.00         39
579600     50.00         39
581400     50.00         39
583200     50.00         39
585000     50.00         39
586800     50.00         39
588600     50.00         39
590400     50.00         39
592200     50.00         39
594000     50.00         39
595800     50.00         39
597600     50.00         39
599400     50.00         39
601200     50.00         39
603000     50.00         39
604800     50.00         39
606600     50.00         39
608400     50.00         39
610200     50.00         39
612000     50.00         39
613800     50.00         39
615600     50.00         39
617400     50.00         39
619200     50.00         39
621000     50.00         39
622800     50.00         39
624600     50.00         39
626400     50.00         39
628200     50.00         39
630000     50.00         39
631800     50.00         39
633600     50.00         39
635400     50.00         39
637200     50.00         39
639000     50.00         39
640800     50.00         39
642600     50.00         39
644400     50.00         39
646200     50.00         39
648000     50.00         39
649800     50.00         39
651600     50.00         39
653400     50.00         39
655200     50.00         39
657000     50.00         39
658800     50.00         39
660600     50.00         39
662400     50.00         39
664200     50.00         39
666000     50.00         39
667800     50.00         39
669600     50.00         39
671400     50.00         39
673200     50.00         39
675000     50.00         39
676800     50.00         39
678600     50.00         39
680400     50.00         39
682200     50.00         39
684000     50.00         39
685800     50.00         39
687600     50.00         39
689400     50.00         39
691200     50.00         39
693000     50.00         39
694800     50.00         39
696600     50.00         39
698400     50.00         39
700200     50.00         39
702000     50.00         39
703800     50.00         39
705600     50.00         39
707400     50.00         39
709200     50.00         39
711000     50.00         39
712800     50.00         39
714600     50.00         39
716400     50.00         39
718200     50.00         39
720000     50.00         39
721800     50.00         39
723600     50.00         39
725400     50.00         39
727200     50.00         39
729000     50.00         39
730800     50.00         39
732600     50.00         39
734400     50.00         39
736200     50.00         39
738000     50.00         39
739800     50.00         39
741600     50.00         39
743400     50.00         39
745200     50.00         39
747000     50.00         39
748800     50.00         39
750600     50.00         39
752400     50.00         39
754200     50.00         39
756000     50.00         39
757800     50.00         39
759600     50.00         39
761400     50.00         39
763200     50.00         39
765000     50.00         39
766800     50.00         39
768600     50.00         39
770400     50.00         39
772200     50.00         39
774000     50.00         39
775800     50.00         39
777600     50.00         39
779400     50.00         39
781200     50.00         39
783000     50.00         39
784800     50.00         39
786600     50.00         39
788400     50.00         39
790200     50.00         39
792000     50.00         39
793800     50.00         39
795600     50.00         39
797400     50.00         39
799200     50.00         39
801000     50.00         39
802800     50.00         39
804600     50.00         39
806400     50.00         39
808200     50.00         39
810000     50.00         39
811800     50.00         39
813600     50.00         39
815400     50.00         39
817200     50.00         39
819000     50.00         39
820800     50.00         39
822600     50.00         39
824400     50.00         39
826200     50.00         39
828000     50.00         39
829800     50.00         39
831600     50.00         39
833400     50.00         39
835200     50.00         39
837000     50.00         39
838800     50.00         39
840600     50.00         39
842400     50.00         39
844200     50.00         39
846000     50.00         39
847800     50.00         39
849600     50.00         39
851400     50.00         39
853200     50.00         39
855000     50.00         39
856800     50.00         39
858600     50.00         39
860400     50.00         39
862200     50.00         39
864000     50.00         39
865800     50.00         39
867600     50.00         39
869400     50.00         39
871200     50.00         39
873000     50.00         39
874800     50.00         39
876600     50.00         39
878400     50.00         39
880200     50.00         39
882000     50.00         39
883800     50.00         39
